video_id,seg_id,clip_path,t_start,t_end,predicted_class,similarity,status,revisor_correto
WGrDqJeW3fw,seg_0077_3071,WGrDqJeW3fw/clips/seg_0077_3071.mp4,104.637,104.978,maca,0.6540234684944153,confiante,
hfumOI7b_uo,seg_0019_1089,hfumOI7b_uo/clips/seg_0019_1089.mp4,36.3,37.0,acontecer,0.7734962105751038,confiante,
k7zc95bjAto,seg_0041_4491,k7zc95bjAto/clips/seg_0041_4491.mp4,149.7,150.033,espelho,0.6494369506835938,confiante,
3rUZJhHVSvY,seg_0076_5244,3rUZJhHVSvY/clips/seg_0076_5244.mp4,174.8,175.533,america,0.68468177318573,confiante,
0_ZpjLKPt1E,seg_0057_1685,0_ZpjLKPt1E/clips/seg_0057_1685.mp4,83.818,84.117,sapo,0.6592462062835693,confiante,
mU3toRaxyQw,seg_0072_6585,mU3toRaxyQw/clips/seg_0072_6585.mp4,263.4,263.72,aproveitar,0.8192089796066284,confiante,
TnQDh7h0bNA,seg_0028_1665,TnQDh7h0bNA/clips/seg_0028_1665.mp4,66.6,66.96,banheiro,0.6506540775299072,confiante,
mU3toRaxyQw,seg_0013_303,mU3toRaxyQw/clips/seg_0013_303.mp4,12.12,12.64,filho,0.6720048189163208,confiante,
5KsqiAG-qgk,seg_0014_594,5KsqiAG-qgk/clips/seg_0014_594.mp4,19.82,20.554,barulho,0.630936324596405,confiante,
mU3toRaxyQw,seg_0017_859,mU3toRaxyQw/clips/seg_0017_859.mp4,34.36,35.08,medo,0.699843168258667,confiante,
MRkepVgB-5k,seg_0183_7988,MRkepVgB-5k/clips/seg_0183_7988.mp4,266.267,267.267,vacina,0.6488969922065735,confiante,
5FU4BfpiIYY,seg_0048_2668,5FU4BfpiIYY/clips/seg_0048_2668.mp4,88.933,89.233,conhecer,0.6600318551063538,confiante,
AFaGETtK56c,seg_0032_4341,AFaGETtK56c/clips/seg_0032_4341.mp4,144.7,145.333,amarelo,0.6883358955383301,confiante,
vku3fL57ung,seg_0138_5367,vku3fL57ung/clips/seg_0138_5367.mp4,223.625,224.0,esquina,0.6431717872619629,confiante,
cEgaDGAbd-Q,seg_0120_5586,cEgaDGAbd-Q/clips/seg_0120_5586.mp4,223.44,224.04,cinco,0.6739145517349243,confiante,
eZT-o5u719M,seg_0056_2926,eZT-o5u719M/clips/seg_0056_2926.mp4,97.631,98.699,ruim,0.6728960275650024,confiante,
udWSfcwMgH4,seg_0177_7435,udWSfcwMgH4/clips/seg_0177_7435.mp4,248.081,248.682,banco,0.6370390057563782,confiante,
iASBvcjlDHQ,seg_0036_1567,iASBvcjlDHQ/clips/seg_0036_1567.mp4,52.286,53.02,maca,0.6296520233154297,confiante,
PqIKJ0Py41k,seg_0034_2131,PqIKJ0Py41k/clips/seg_0034_2131.mp4,71.104,71.638,acontecer,0.7668517827987671,confiante,
t4h8M9FX0YA,seg_0037_1258,t4h8M9FX0YA/clips/seg_0037_1258.mp4,50.32,50.68,espelho,0.7204705476760864,confiante,
vNcJz1PSzVw,seg_0165_6838,vNcJz1PSzVw/clips/seg_0165_6838.mp4,273.52,274.32,america,0.7094542980194092,confiante,
MEW2FZbwthM,seg_0081_4237,MEW2FZbwthM/clips/seg_0081_4237.mp4,169.48,169.92,sapo,0.6317223310470581,confiante,
ZHEbpJfF10g,seg_0075_3402,ZHEbpJfF10g/clips/seg_0075_3402.mp4,113.513,113.88,aproveitar,0.8772119879722595,confiante,
rKF1HsLKvm4,seg_0041_2864,rKF1HsLKvm4/clips/seg_0041_2864.mp4,95.562,95.829,banheiro,0.6341598629951477,confiante,
SW3uzuFG_o0,seg_0021_686,SW3uzuFG_o0/clips/seg_0021_686.mp4,22.89,23.357,filho,0.6758447885513306,confiante,
