split,idx,label,pkl_path
train,2,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/2.pkl
train,6,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/6.pkl
train,7,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/7.pkl
train,1,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/1.pkl
train,0,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/0.pkl
train,5,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/5.pkl
train,4,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/4.pkl
train,3,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/3.pkl
train,8,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/8.pkl
train,11,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/11.pkl
train,10,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/10.pkl
train,9,3,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/9.pkl
train,12,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/12.pkl
train,14,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/14.pkl
train,13,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/13.pkl
train,15,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/15.pkl
train,21,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/21.pkl
train,18,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/18.pkl
train,16,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/16.pkl
train,22,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/22.pkl
train,17,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/17.pkl
train,19,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/19.pkl
train,23,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/23.pkl
train,20,4,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/20.pkl
train,24,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/24.pkl
train,30,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/30.pkl
train,31,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/31.pkl
train,25,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/25.pkl
train,28,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/28.pkl
train,26,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/26.pkl
train,27,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/27.pkl
train,29,5,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/29.pkl
train,32,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/32.pkl
train,33,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/33.pkl
train,35,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/35.pkl
train,37,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/37.pkl
train,34,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/34.pkl
train,38,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/38.pkl
train,39,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/39.pkl
train,36,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/36.pkl
train,40,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/40.pkl
train,43,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/43.pkl
train,45,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/45.pkl
train,41,0,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/41.pkl
train,44,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/44.pkl
train,46,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/46.pkl
train,42,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/42.pkl
train,47,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/47.pkl
train,48,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/48.pkl
train,52,2,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/52.pkl
train,50,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/50.pkl
train,49,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/49.pkl
train,55,2,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/55.pkl
train,51,1,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/51.pkl
train,54,2,/home/jonathangois/Documentos/Libras_2026/data/libras_ufop_landmarks/train/54.pkl
